Altium Designer Pick and Place Locations,,,,,,,
D:\MyDocuments\STM32Program\FrequencyAnalyse\Hardware\SignalAnalysis_Final\Project Outputs for SignalAnalysis_final\Pick Place for SignalAnalyse.csv,,,,,,,
,,,,,,,
========================================================================================================================,,,,,,,
File Design Information:,,,,,,,
,,,,,,,
Date:       30/08/21,,,,,,,
Time:       09:46,,,,,,,
Revision:   efb4060e96f3e49ef5482a0a6ed2a59cd4830c93,,,,,,,
Variant:    No variations,,,,,,,
Units used: mm,,,,,,,
,,,,,,,
Designator,Comment,Layer,Footprint,Center-X(mm),Center-Y(mm),Rotation,Description
D2,Diode,TopLayer,SOD3716X135N,128.5266,102.6668,360,Surface Mount Schottky Power Rectifier
U8,OPA607,TopLayer,OPA607IDCKR,121.2596,87.9856,180,
R51,,TopLayer,J1-0603,120.5738,91.3384,0,Resistor
R50,,TopLayer,J1-0603,122.7328,90.8812,90,Resistor
R49,,TopLayer,J1-0603,123.1646,84.5058,360,Resistor
R48,,TopLayer,J1-0603,120.4722,85.7758,180,Resistor
C65,,TopLayer,1608[0603],120.523,90.0684,0,Capacitor (Semiconductor SIM Model)
C64,Cap Semi,TopLayer,1608[0603],118.2116,88.3158,90,Capacitor (Semiconductor SIM Model)
C63,Cap Semi,TopLayer,1608[0603],122.047,94.1832,0,Capacitor (Semiconductor SIM Model)
C62,Cap Semi,TopLayer,1608[0603],123.19,85.7758,180,Capacitor (Semiconductor SIM Model)
Swi1,Switch_219-2MSTR,TopLayer,Switch_219-2MSTR,83.4009,72.1614,90,
C41,GRM188R61A226ME15D,TopLayer,1608[0603],105.0148,84.6582,360,Capacitor (Semiconductor SIM Model)
C42,GRM188R61A226ME15D,TopLayer,1608[0603],111.8982,80.0608,180,Capacitor (Semiconductor SIM Model)
C43,GRM188R61A226ME15D,TopLayer,1608[0603],110.1852,82.9818,360,Capacitor (Semiconductor SIM Model)
C44,GRM188R61A226ME15D,TopLayer,1608[0603],110.1852,84.2518,360,Capacitor (Semiconductor SIM Model)
C45,GRM188R61A226ME15D,TopLayer,1608[0603],111.8982,81.3308,180,Capacitor (Semiconductor SIM Model)
C46,GRM188R61A226ME15D,TopLayer,1608[0603],105.8164,83.2104,360,Capacitor (Semiconductor SIM Model)
C47,GRM188R61A226ME15D,TopLayer,1608[0603],116.967,88.3412,90,Capacitor (Semiconductor SIM Model)
C48,GRM188R61A226ME15D,TopLayer,1608[0603],115.7732,102.0064,270,Capacitor (Semiconductor SIM Model)
C49,GRM188R61A226ME15D,TopLayer,1608[0603],100.9762,103.9368,180,Capacitor (Semiconductor SIM Model)
C50,GRM188R61A226ME15D,TopLayer,1608[0603],97.6122,88.327,270,Capacitor (Semiconductor SIM Model)
C51,GRM188R61A226ME15D,TopLayer,1608[0603],102.3732,105.2068,360,Capacitor (Semiconductor SIM Model)
C52,GRM188R61A226ME15D,TopLayer,1608[0603],117.8052,99.1728,270,Capacitor (Semiconductor SIM Model)
C53,GRM188R61A226ME15D,TopLayer,1608[0603],108.6754,72.6186,180,Capacitor (Semiconductor SIM Model)
C54,GRM188R61A226ME15D,BottomLayer,1608[0603],107.5294,84.0486,180,Capacitor (Semiconductor SIM Model)
